,Decile,Dropout,Total,Observed Dropout Rate
0,1,8,105,0.0761904761904762
1,2,16,105,0.1523809523809524
2,3,32,103,0.3106796116504854
3,4,7,105,0.06666666666666667
4,5,13,104,0.125
5,6,35,104,0.33653846153846156
6,7,37,105,0.3523809523809524
7,8,62,104,0.5961538461538461
8,9,62,104,0.5961538461538461
9,10,72,105,0.6857142857142857
