,Decile,Dropout,Total,Observed Dropout Rate
0,1,13,105,0.12380952380952381
1,2,23,104,0.22115384615384615
2,3,31,104,0.2980769230769231
3,4,28,107,0.2616822429906542
4,5,25,102,0.24509803921568626
5,6,41,104,0.3942307692307692
6,7,37,105,0.3523809523809524
7,8,41,104,0.3942307692307692
8,9,48,104,0.46153846153846156
9,10,57,105,0.5428571428571428
