School,Web Address,HSRating_WebScrap,HSRating
Balboa High School,https://www.greatschools.org/search/search.page?q=%22Balboa%20High%20School%22,6,6
Big Bear High School,https://www.greatschools.org/search/search.page?q=%22Big%20Bear%20High%20School%22,3,3
California Virtual Academy @ San Mateo,https://www.greatschools.org/search/search.page?q=%22California%20Virtual%20Academy%20@%20San%20Mateo%22,5,5
Capuchino High School,https://www.greatschools.org/search/search.page?q=%22Capuchino%20High%20School%22,5,5
Carlmont High School,https://www.greatschools.org/search/search.page?q=%22Carlmont%20High%20School%22,8,8
Casa Grande High School,https://www.greatschools.org/search/search.page?q=%22Casa%20Grande%20High%20School%22,5,5
Cibola High School,https://www.greatschools.org/search/search.page?q=%22Cibola%20High%20School%22,5,5
City Arts and Tech High School,https://www.greatschools.org/search/search.page?q=%22City%20Arts%20and%20Tech%20High%20School%22,3,3
Cloverdale High School,https://www.greatschools.org/search/search.page?q=%22Cloverdale%20High%20School%22,6,6
Credo High School,https://www.greatschools.org/search/search.page?q=%22Credo%20High%20School%22,7,7
Creekside High School,https://www.greatschools.org/search/search.page?q=%22Creekside%20High%20School%22,2,2
Deer Valley High School,https://www.greatschools.org/search/search.page?q=%22Deer%20Valley%20High%20School%22,5,5
East Palo Alto Academy,https://www.greatschools.org/search/search.page?q=%22East%20Palo%20Alto%20Academy%22,1,1
Elsie Allen High School,https://www.greatschools.org/search/search.page?q=%22Elsie%20Allen%20High%20School%22,0,0
Ernest Righetti High School,https://www.greatschools.org/search/search.page?q=%22Ernest%20Righetti%20High%20School%22,4,4
Evergreen Valley High School,https://www.greatschools.org/search/search.page?q=%22Evergreen%20Valley%20High%20School%22,8,8
Galileo High School,https://www.greatschools.org/search/search.page?q=%22Galileo%20High%20School%22,6,6
Galt High School,https://www.greatschools.org/search/search.page?q=%22Galt%20High%20School%22,3,3
Gateway High School,https://www.greatschools.org/search/search.page?q=%22Gateway%20High%20School%22,2,2
George Washington High School,https://www.greatschools.org/search/search.page?q=%22George%20Washington%20High%20School%22,2,2
Gonzales High School,https://www.greatschools.org/search/search.page?q=%22Gonzales%20High%20School%22,1,1
Greenfield High School,https://www.greatschools.org/search/search.page?q=%22Greenfield%20High%20School%22,4,4
Healdsburg High School,https://www.greatschools.org/search/search.page?q=%22Healdsburg%20High%20School%22,5,5
Hercules High School,https://www.greatschools.org/search/search.page?q=%22Hercules%20High%20School%22,6,6
Heritage High School,https://www.greatschools.org/search/search.page?q=%22Heritage%20High%20School%22,6,6
Leadership Public Schools Richmond,https://www.greatschools.org/search/search.page?q=%22Leadership%20Public%20Schools%20Richmond%22,4,4
Liberty High,https://www.greatschools.org/search/search.page?q=%22Liberty%20High%22,3,3
Maria Carrillo High School,https://www.greatschools.org/search/search.page?q=%22Maria%20Carrillo%20High%20School%22,6,6
Middle College High School,https://www.greatschools.org/search/search.page?q=%22Middle%20College%20High%20School%22,8,8
MIT Academy,https://www.greatschools.org/search/search.page?q=%22MIT%20Academy%22,4,4
Montgomery High School,https://www.greatschools.org/search/search.page?q=%22Montgomery%20High%20School%22,8,8
Mount Pleasant High School,https://www.greatschools.org/search/search.page?q=%22Mount%20Pleasant%20High%20School%22,3,3
Napa High School,https://www.greatschools.org/search/search.page?q=%22Napa%20High%20School%22,3,3
North Monterey County High School,https://www.greatschools.org/search/search.page?q=%22North%20Monterey%20County%20High%20School%22,2,2
Novato High School,https://www.greatschools.org/search/search.page?q=%22Novato%20High%20School%22,6,6
Oak Grove High School,https://www.greatschools.org/search/search.page?q=%22Oak%20Grove%20High%20School%22,5,5
Oak Hills High School,https://www.greatschools.org/search/search.page?q=%22Oak%20Hills%20High%20School%22,5,5
Oakland High School,https://www.greatschools.org/search/search.page?q=%22Oakland%20High%20School%22,0,0
Oxnard High School,https://www.greatschools.org/search/search.page?q=%22Oxnard%20High%20School%22,3,3
Pacific Grove High School,https://www.greatschools.org/search/search.page?q=%22Pacific%20Grove%20High%20School%22,7,7
Pacific High School,https://www.greatschools.org/search/search.page?q=%22Pacific%20High%20School%22,3,3
Palisades Charter High School,https://www.greatschools.org/search/search.page?q=%22Palisades%20Charter%20High%20School%22,7,7
Petaluma High School,https://www.greatschools.org/search/search.page?q=%22Petaluma%20High%20School%22,6,6
Piedmont Hills High School,https://www.greatschools.org/search/search.page?q=%22Piedmont%20Hills%20High%20School%22,7,7
Piner High School,https://www.greatschools.org/search/search.page?q=%22Piner%20High%20School%22,1,1
Pinole Valley High School,https://www.greatschools.org/search/search.page?q=%22Pinole%20Valley%20High%20School%22,3,3
Pittsburg Senior High,https://www.greatschools.org/search/search.page?q=%22Pittsburg%20Senior%20High%22,2,2
Public Safety Academy,https://www.greatschools.org/search/search.page?q=%22Public%20Safety%20Academy%22,2,2
Redondo Union High School,https://www.greatschools.org/search/search.page?q=%22Redondo%20Union%20High%20School%22,8,8
Richmond High School,https://www.greatschools.org/search/search.page?q=%22Richmond%20High%20School%22,2,2
Rio Vista High School,https://www.greatschools.org/search/search.page?q=%22Rio%20Vista%20High%20School%22,3,3
River Valley High School,https://www.greatschools.org/search/search.page?q=%22River%20Valley%20High%20School%22,5,5
Saint Helena High School,https://www.greatschools.org/search/search.page?q=%22Saint%20Helena%20High%20School%22,6,6
Salinas High School,https://www.greatschools.org/search/search.page?q=%22Salinas%20High%20School%22,3,3
San Marin High School,https://www.greatschools.org/search/search.page?q=%22San%20Marin%20High%20School%22,7,7
San Rafael High School,https://www.greatschools.org/search/search.page?q=%22San%20Rafael%20High%20School%22,3,3
Santa Rosa High School,https://www.greatschools.org/search/search.page?q=%22Santa%20Rosa%20High%20School%22,5,5
Santa Teresa High School,https://www.greatschools.org/search/search.page?q=%22Santa%20Teresa%20High%20School%22,5,5
Silver Creek High School,https://www.greatschools.org/search/search.page?q=%22Silver%20Creek%20High%20School%22,4,4
Sonoma Valley High School,https://www.greatschools.org/search/search.page?q=%22Sonoma%20Valley%20High%20School%22,4,4
South San Francisco High School,https://www.greatschools.org/search/search.page?q=%22South%20San%20Francisco%20High%20School%22,4,4
Summit Public School K2,https://www.greatschools.org/search/search.page?q=%22Summit%20Public%20School%20K2%22,4,4
Sunnyside High School,https://www.greatschools.org/search/search.page?q=%22Sunnyside%20High%20School%22,2,2
Tamalpais High School,https://www.greatschools.org/search/search.page?q=%22Tamalpais%20High%20School%22,8,8
Technology High School,https://www.greatschools.org/search/search.page?q=%22Technology%20High%20School%22,8,8
Terra Linda High School,https://www.greatschools.org/search/search.page?q=%22Terra%20Linda%20High%20School%22,5,5
Thurgood Marshall High School,https://www.greatschools.org/search/search.page?q=%22Thurgood%20Marshall%20High%20School%22,1,1
Tomales High School,https://www.greatschools.org/search/search.page?q=%22Tomales%20High%20School%22,2,2
Vintage High School,https://www.greatschools.org/search/search.page?q=%22Vintage%20High%20School%22,3,3
Wallenberg (Raoul) Traditional High,https://www.greatschools.org/search/search.page?q=%22Wallenberg%20(Raoul)%20Traditional%20High%22,7,7
Watsonville High School,https://www.greatschools.org/search/search.page?q=%22Watsonville%20High%20School%22,1,1
William C. Overfelt High School,https://www.greatschools.org/search/search.page?q=%22William%20C.%20Overfelt%20High%20School%22,2,2
Windsor High School,https://www.greatschools.org/search/search.page?q=%22Windsor%20High%20School%22,4,4
Yerba Buena High School,https://www.greatschools.org/search/search.page?q=%22Yerba%20Buena%20High%20School%22,4,4
